ID;cd;estado;areaCliente
61T1;BRASILIA;DF;INFRA NET
11NR;CAMPINAS;SP;INFRA NET
31NR;CONTAGEM;MG;INFRA NET
41TO;CURITIBA;PR;INFRA NET
11NT;DIADEMA;SP;INFRA NET
48NF;FLORIANOPOLIS;SC;INFRA NET
82NA;MACEIO;AL;INFRA NET
92T1;MANAUS;AM;INFRA NET
51TO;PORTO ALEGRE;RS;INFRA NET
81T1;RECIFE;PE;INFRA NET
21NH;RIO DE JANEIRO;RJ;INFRA NET
71ND;SALVADOR;BA;INFRA NET
27ND;VILA VELHA;ES;INFRA NET
11RC;BARUERI;SP;INFRA NET
1196;CAMPINAS;SP;CLARO MOVEL
2196;RIO DE JANEIRO;RJ;CLARO MOVEL
3192;CONTAGEM;MG;CLARO MOVEL
4194;SÃO JOSE DOS PINHAIS;PR;CLARO MOVEL
5192;PORTO ALEGRE;RS;CLARO MOVEL
7193;SALVADOR;BA;CLARO MOVEL
8192;JABOATÃO DOS GUARARAPES;PE;CLARO MOVEL
9193;ANANINDEUA;PA;CLARO MOVEL
9294;MANAUS;AM;CLARO MOVEL
9897;SÃO LUIS;MA;CLARO MOVEL
A192;BRASILIA;DF;CLARO MOVEL
6192;BRASILIA;DF;CLARO MOVEL
2726;VITÓRIA;ES;CLARO MOVEL
5122;CAXIAS DO SUL;RS;CLARO MOVEL
5120;SANTA MARIA;RS;CLARO MOVEL
A207;APARECIDA DE GOIANIA;GO;CLARO MOVEL
6207;APARECIDA DE GOIANIA;GO;CLARO MOVEL
A703;CAMPO GRANDE;MS;CLARO MOVEL
67A3;CAMPO GRANDE;MS;CLARO MOVEL
A503;CUIABA;MT;CLARO MOVEL
6503;CUIABA;MT;CLARO MOVEL
A302;PALMAS;TO;CLARO MOVEL
6302;PALMAS;TO;CLARO MOVEL
A902;PORTO VELHO;RO;CLARO MOVEL
6902;PORTO VELHO;RO;CLARO MOVEL
A802;RIO BRANCO;AC;CLARO MOVEL
6807;RIO BRANCO;AC;CLARO MOVEL
7904;ARACAJU;SE;CLARO MOVEL
8503;FORTALEZA;CE;CLARO MOVEL
8603;TERESINA;PI;CLARO MOVEL
8403;NATAL;RN;CLARO MOVEL
8303;JOÃO PESSOA;PB;CLARO MOVEL
8206;MACEIÓ;AL;CLARO MOVEL
8106;RECIFE;PE;CLARO MOVEL
1124;PA AMERICANOPOLIS;SP;CLARO MOVEL
1127;PA PERDIZES;SP;CLARO MOVEL
1126;PA PENHA;SP;CLARO MOVEL
1125;PA JAGUARE;SP;CLARO MOVEL
1919;PA CAMPINAS;SP;CLARO MOVEL
1920;PA SÃO JOSE DOS CAMPOS;SP;CLARO MOVEL
1921;PA SANTOS;SP;CLARO MOVEL
1922;PA SOROCABA;SP;CLARO MOVEL
1924;PA BAURU;SP;CLARO MOVEL
1925;PA RIBEIRÃO PRETO;SP;CLARO MOVEL
1923;PA SÃO JOSE DO RIO PRETO;SP;CLARO MOVEL
8203;MACEIÓ;AL;CLARO MOVEL
9283;MANAUS;AM;CLARO MOVEL
2787;VITÓRIA;ES;CLARO MOVEL
8276;MACEIÓ;AL;CLARO MOVEL
7196;VITÓRIA DA CONSQUISTA;BA;CLARO MOVEL
A301;PALMAS;TO;CLARO MOVEL
2173;RIO DE JANEIRO;RJ;CLARO MOVEL
8601;TERESINA;PI;CLARO MOVEL
9694;MACAPA;AP;CLARO MOVEL
8201;MACEIÓ;AL;CLARO MOVEL
8306;JOÃO PESSOA;PB;CLARO MOVEL