name;ID;descr
"INFRA NET";"Não Liga";
"INFRA NET";"Não realiza medidas";
"INFRA NET";"Travado";
"INFRA NET";"Display (Queimado / Quebrado / Em branco)";
"INFRA NET";"Erro de medição";
"INFRA NET";"Todos Leds Acessos";
"INFRA NET";"Não Carrega";
"INFRA NET";"Não Inicializa";
"INFRA NET";"Botões travados";
"INFRA NET";"Bateria Danificada";
"INFRA NET";"Conectores Danificados";
"INFRA NET";"Má Clivagem";
"INFRA NET";"Erro de Alinhamento e Foco";
"INFRA NET";"Fusões com Bolhas";
"INFRA NET";"Não Realiza Emendas";
"INFRA NET";"Forninho com problemas";
"INFRA NET";"Não Identifica fibra corretamente";
"INFRA NET";"Não identifica frequencia corretamente";
"INFRA NET";"Sem Tensão de Saída";
"INFRA NET";"Baixa Tensão de Saída";
"INFRA NET";"Não Carrega Baterias";
"INFRA NET";"Não Inverte";
"INFRA NET";"Display Queimado";
"INFRA NET";"Alarmando";
"INFRA NET";"Não Sincroniza";
"INFRA NET";"Não reconhece bateria";
"INFRA NET";"Fonte com Ruído";
"INFRA NET";"Ventoinha disparada";
"INFRA NET";"Cabos cortados";
"INFRA NET";"Não reconhece sensor RTS/ PTS";
"INFRA NET";"Conectores Power Anderson Derretidos";
"INFRA NET";"Transponde - Não sincroniza";
"INFRA NET";"Alta corrente de recarga";
"INFRA NET";"Placa fusível tap queimada";
"INFRA NET";"Sem Ganho - direto";
"INFRA NET";"Sem Ganho - Retorno";
"INFRA NET";"Baixo Ganho - Direto";
"INFRA NET";"Baixo Ganho - Retorno";
"INFRA NET";"Tensão da fonte baixa";
"INFRA NET";"Sem Ganho - Test poinT";
"INFRA NET";"Baixo Ganho - Test poinT";
"INFRA NET";"Degradação do SinaL";
"INFRA NET";"Degradação de MER";
"INFRA NET";"Degradação de BER";
"INFRA NET";"Sem tensão na Saída";
"INFRA NET";"Baixa tensão na saída";
"INFRA NET";"Não Realiza Chaveamento";
"INFRA NET";"Hibrido Ausente";
"INFRA NET";"Cavidade no sweep";
"INFRA NET";"Placa em curto";
"INFRA NET";"Sem sinal - Direto";
"INFRA NET";"Sem sinal - Retorno";
"INFRA NET";"Sem sinal - Test poinT";
"INFRA NET";"Sem ajuste de ganho";
"INFRA NET";"Sem ajuste de tilT";
"INFRA NET";"Cabo Cortado";
"INFRA NET";"Sem conector Pim/F";
"INFRA NET";"Verificação das frequências";
"CLARO MOVEL";"COMPONENTE DEFEITUOSO";
"CLARO MOVEL";"SENSIVEL A TEMPERATURA";
"CLARO MOVEL";"PCI CARBONIZADA";
"CLARO MOVEL";"PCI OXIDADA";
"CLARO MOVEL";"DEFEITO INTERMITENTE";
"CLARO MOVEL";"FALTA COMPONENTE";
"CLARO MOVEL";"COMPONENTE ERRADO";
"CLARO MOVEL";"CONEXAO ERRADA";
"CLARO MOVEL";"PONTE DE SOLDA";
"CLARO MOVEL";"SEM SOLDA";
"CLARO MOVEL";"SOLDA INSUFICIENTE";
"CLARO MOVEL";"SOLDA EM EXCESSO";
"CLARO MOVEL";"SOLDA FRIA";
"CLARO MOVEL";"SUB-MODULO DEFEITUOSO";
"CLARO MOVEL";"CONFIGURACAO ERRADA";
"CLARO MOVEL";"PCI DANIFICADA";
"CLARO MOVEL";"SOFTWARE CORROMPIDO";
"CLARO MOVEL";"VER. SOFTWARE INCORRETO";
"CLARO MOVEL";"TRILHA INTERROMPIDA";
"CLARO MOVEL";"DEFEITO MECANICO";
"CLARO MOVEL";"INSTALACAO ERRADA";
"CLARO MOVEL";"INFILTRACAO DE AGUA";
"CLARO MOVEL";"CABO-CONECTOR DANIFICADO";